TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均距上次下单天数
0-12月,3552,846,0.23817567567567569,2.5565878378378377,159.9877224099099,3.9847972972972974
13-24月,1574,102,0.06480304955527319,3.644853875476493,200.7232528589581,5.237611181702668
25-36月,500,0,0.0,3.698,225.29074,5.38
49-60月,2,0,0.0,2.5,161.5,8.5
60月以上,2,0,0.0,1.5,291.25,0.5
